Name,win,sugar,price,chocolate,fruity,caramel,nuts,nougat,ricewafer,hard,bar,pluribus 
Laffy Taffy,41.39,0.22,0.116,0,1,0,0,0,0,0,0,0
Lemonhead,39.141,0.046,0.104,0,1,0,0,0,0,1,0,0
Lifesavers big ring gummies,52.911,0.267,0.279,0,1,0,0,0,0,0,0,0
Peanut butter M&MÕs,71.465,0.825,0.651,1,0,0,1,0,0,0,0,1
M&MÕs,66.575,0.825,0.651,1,0,0,0,0,0,0,0,1
Mike & Ike,46.412,0.872,0.325,0,1,0,0,0,0,0,0,1
Milk Duds,55.064,0.302,0.511,1,0,1,0,0,0,0,0,1
Milky Way,73.1,0.604,0.651,1,0,1,0,1,0,0,1,0
Milky Way Midnight,60.801,0.732,0.441,1,0,1,0,1,0,0,1,0
Milky Way Simply Caramel,64.353,0.965,0.86,1,0,1,0,0,0,0,1,0
Mounds,47.83,0.313,0.86,1,0,0,0,0,0,0,1,0
Mr Good Bar,54.526,0.313,0.918,1,0,0,1,0,0,0,1,0
Nerds,55.354,0.848,0.325,0,1,0,0,0,0,1,0,1
Nestle Butterfinger,70.736,0.604,0.767,1,0,0,1,0,0,0,1,0
Nestle Crunch,66.471,0.313,0.767,1,0,0,0,0,1,0,1,0
Nik L Nip,22.445,0.197,0.976,0,1,0,0,0,0,0,0,1
Now & Later,39.447,0.22,0.325,0,1,0,0,0,0,0,0,1
Payday,46.297,0.465,0.767,0,0,0,1,1,0,0,1,0
Peanut M&Ms,69.484,0.593,0.651,1,0,0,1,0,0,0,0,1
Pixie Sticks,37.722,0.093,0.023,0,0,0,0,0,0,0,0,1
Pop Rocks,41.266,0.604,0.837,0,1,0,0,0,0,1,0,1
Red vines,37.349,0.581,0.116,0,1,0,0,0,0,0,0,1
ReeseÕs Miniatures,81.866,0.034,0.279,1,0,0,1,0,0,0,0,0
ReeseÕs Peanut Butter cup,84.18,0.72,0.651,1,0,0,1,0,0,0,0,0
ReeseÕs pieces,73.435,0.406,0.651,1,0,0,1,0,0,0,0,1
ReeseÕs stuffed with pieces,72.888,0.988,0.651,1,0,0,1,0,0,0,0,0
Ring pop,35.291,0.732,0.965,0,1,0,0,0,0,1,0,0
Rolo,65.716,0.86,0.86,1,0,1,0,0,0,0,0,1
Root Beer Barrels,29.704,0.732,0.069,0,0,0,0,0,0,1,0,1
Runts,42.849,0.872,0.279,0,1,0,0,0,0,1,0,1
Sixlets,34.722,0.22,0.081,1,0,0,0,0,0,0,0,1
Skittles original,63.085,0.941,0.22,0,1,0,0,0,0,0,0,1
Skittles wildberry,55.104,0.941,0.22,0,1,0,0,0,0,0,0,1
Nestle Smarties,37.887,0.267,0.976,1,0,0,0,0,0,0,0,1
Smarties candy,45.996,0.267,0.116,0,1,0,0,0,0,1,0,1
Snickers,76.674,0.546,0.651,1,0,1,1,1,0,0,1,0
Snickers Crisper,59.529,0.604,0.651,1,0,1,1,0,1,0,1,0
Sour Patch Kids,59.864,0.069,0.116,0,1,0,0,0,0,0,0,1
Sour Patch Tricksters,52.826,0.069,0.116,0,1,0,0,0,0,0,0,1
Starburst,67.038,0.151,0.22,0,1,0,0,0,0,0,0,1
Strawberry bon bons,34.579,0.569,0.058,0,1,0,0,0,0,1,0,1
Sugar Babies,33.438,0.965,0.767,0,0,1,0,0,0,0,0,1
Sugar Daddy,32.231,0.418,0.325,0,0,1,0,0,0,0,0,0
Super Bubble,27.304,0.162,0.116,0,1,0,0,0,0,0,0,0
Swedish Fish,54.861,0.604,0.755,0,1,0,0,0,0,0,0,1
Tootsie Pop,48.983,0.604,0.325,1,1,0,0,0,0,1,0,0
Tootsie Roll Juniors,43.069,0.313,0.511,1,0,0,0,0,0,0,0,0
Tootsie Roll Midgies,45.737,0.174,0.011,1,0,0,0,0,0,0,0,1
Tootsie Roll Snack Bars,49.654,0.465,0.325,1,0,0,0,0,0,0,1,0
Trolli Sour Bites,47.173,0.313,0.255,0,1,0,0,0,0,0,0,1
Twix,81.643,0.546,0.906,1,0,1,0,0,1,0,1,0
Twizzlers,45.466,0.22,0.116,0,1,0,0,0,0,0,0,0
Warheads,39.012,0.093,0.116,0,1,0,0,0,0,1,0,0
WelchÕs Fruit Snacks,44.376,0.313,0.313,0,1,0,0,0,0,0,0,1
WertherÕs Original Caramel,41.904,0.186,0.267,0,0,1,0,0,0,1,0,0
Whoppers,49.524,0.872,0.848,1,0,0,0,0,1,0,0,1
