id,fix_acidity,vol_acidity,citric_acid,sugar,chlorides,free_sulfur,total_sulfur,density,pH,sulphates,alcohol,quality
58,7.50,0.63,0.12,5.10,0.11,50.00,110.00,1.00,3.26,0.77,9.40,5.00
59,7.80,0.59,0.18,2.30,0.08,17.00,54.00,1.00,3.43,0.59,10.00,5.00
60,7.30,0.39,0.31,2.40,0.07,9.00,46.00,1.00,3.41,0.54,9.40,6.00
61,8.80,0.40,0.40,2.20,0.08,19.00,52.00,1.00,3.44,0.64,9.20,5.00
62,7.70,0.69,0.49,1.80,0.12,20.00,112.00,1.00,3.21,0.71,9.30,5.00
63,7.50,0.52,0.16,1.90,0.09,12.00,35.00,1.00,3.38,0.62,9.50,7.00
64,7.00,0.74,0.05,2.00,0.08,13.00,54.00,1.00,3.39,0.57,9.80,5.00
65,7.20,0.73,0.05,4.65,0.09,4.00,11.00,1.00,3.41,0.39,10.90,5.00
66,7.20,0.73,0.05,4.65,0.09,4.00,11.00,1.00,3.41,0.39,10.90,5.00
67,7.50,0.52,0.11,1.50,0.08,11.00,39.00,1.00,3.42,0.58,9.60,5.00
68,6.60,0.71,0.07,1.60,0.08,6.00,15.00,1.00,3.44,0.58,10.70,5.00
69,9.30,0.32,0.57,2.00,0.07,27.00,65.00,1.00,3.28,0.79,10.70,5.00
70,8.00,0.71,0.05,1.90,0.07,8.00,19.00,1.00,3.34,0.95,10.50,6.00
71,7.70,0.63,0.08,1.90,0.08,15.00,27.00,1.00,3.32,0.54,9.50,6.00
72,7.70,0.67,0.23,2.10,0.09,17.00,96.00,1.00,3.32,0.48,9.50,5.00
73,7.70,0.69,0.22,1.90,0.08,18.00,94.00,1.00,3.31,0.48,9.50,5.00
74,8.30,0.68,0.26,2.10,0.08,11.00,43.00,1.00,3.31,0.53,9.20,4.00
75,9.70,0.32,0.54,2.50,0.09,28.00,83.00,1.00,3.28,0.82,9.60,5.00
76,8.80,0.41,0.64,2.20,0.09,9.00,42.00,1.00,3.54,0.66,10.50,5.00
77,8.80,0.41,0.64,2.20,0.09,9.00,42.00,1.00,3.54,0.66,10.50,5.00
78,6.80,0.79,0.00,2.40,0.10,14.00,30.00,1.00,3.52,0.55,10.70,6.00
79,6.70,0.75,0.12,2.00,0.09,12.00,80.00,1.00,3.38,0.52,10.10,5.00
80,8.30,0.63,0.20,1.50,0.08,27.00,119.00,1.00,3.16,1.12,9.10,4.00
81,6.20,0.45,0.20,1.60,0.07,3.00,15.00,1.00,3.41,0.56,9.20,5.00
82,7.80,0.43,0.70,1.90,0.46,22.00,67.00,1.00,3.13,1.28,9.40,5.00
83,7.40,0.50,0.47,2.00,0.09,21.00,73.00,1.00,3.36,0.57,9.10,5.00
84,7.30,0.67,0.26,1.80,0.40,16.00,51.00,1.00,3.16,1.14,9.40,5.00
85,6.30,0.30,0.48,1.80,0.07,18.00,61.00,1.00,3.44,0.78,10.30,6.00
86,6.90,0.55,0.15,2.20,0.08,19.00,40.00,1.00,3.41,0.59,10.10,5.00
87,8.60,0.49,0.28,1.90,0.11,20.00,136.00,1.00,2.93,1.95,9.90,6.00
88,7.70,0.49,0.26,1.90,0.06,9.00,31.00,1.00,3.39,0.64,9.60,5.00
89,9.30,0.39,0.44,2.10,0.11,34.00,125.00,1.00,3.14,1.22,9.50,5.00
90,7.00,0.62,0.08,1.80,0.08,8.00,24.00,1.00,3.48,0.53,9.00,5.00
91,7.90,0.52,0.26,1.90,0.08,42.00,140.00,1.00,3.23,0.54,9.50,5.00
92,8.60,0.49,0.28,1.90,0.11,20.00,136.00,1.00,2.93,1.95,9.90,6.00
93,8.60,0.49,0.29,2.00,0.11,19.00,133.00,1.00,2.93,1.98,9.80,5.00
94,7.70,0.49,0.26,1.90,0.06,9.00,31.00,1.00,3.39,0.64,9.60,5.00
95,5.00,1.02,0.04,1.40,0.05,41.00,85.00,0.99,3.75,0.48,10.50,4.00
96,4.70,0.60,0.17,2.30,0.06,17.00,106.00,0.99,3.85,0.60,12.90,6.00
97,6.80,0.78,0.00,3.00,0.10,8.00,23.00,1.00,3.45,0.56,10.70,5.00
98,7.00,0.50,0.25,2.00,0.07,3.00,22.00,1.00,3.25,0.63,9.20,5.00
99,7.60,0.90,0.06,2.50,0.08,5.00,10.00,1.00,3.39,0.56,9.80,5.00
100,8.10,0.55,0.18,1.90,0.08,13.00,35.00,1.00,3.30,0.59,9.00,6.00
101,8.30,0.61,0.30,2.10,0.08,11.00,50.00,1.00,3.40,0.61,10.20,6.00
102,7.80,0.50,0.30,1.90,0.08,8.00,22.00,1.00,3.31,0.56,10.40,6.00
103,8.10,0.55,0.18,1.90,0.08,13.00,35.00,1.00,3.30,0.59,9.00,6.00
104,8.10,0.58,0.22,2.10,0.08,12.00,65.00,1.00,3.29,0.51,9.20,5.00
105,7.20,0.49,0.24,2.20,0.07,5.00,36.00,1.00,3.33,0.48,9.40,5.00
106,8.10,0.58,0.22,2.10,0.08,12.00,65.00,1.00,3.29,0.51,9.20,5.00
107,7.80,0.41,0.68,1.70,0.47,18.00,69.00,1.00,3.08,1.31,9.30,5.00
108,6.20,0.63,0.31,1.70,0.09,15.00,64.00,1.00,3.46,0.79,9.30,5.00
109,8.00,0.33,0.53,2.50,0.09,18.00,80.00,1.00,3.37,0.80,9.60,6.00
110,8.10,0.79,0.52,2.00,0.12,37.00,153.00,1.00,3.21,0.69,9.30,5.00
111,7.80,0.56,0.19,1.80,0.10,12.00,47.00,1.00,3.19,0.93,9.50,5.00
112,8.40,0.62,0.09,2.20,0.08,11.00,108.00,1.00,3.15,0.66,9.80,5.00
113,8.40,0.60,0.10,2.20,0.09,14.00,111.00,1.00,3.15,0.66,9.80,5.00
114,10.10,0.31,0.44,2.30,0.08,22.00,46.00,1.00,3.32,0.67,9.70,6.00
115,7.80,0.56,0.19,1.80,0.10,12.00,47.00,1.00,3.19,0.93,9.50,5.00
116,9.40,0.40,0.31,2.20,0.09,13.00,62.00,1.00,3.07,0.63,10.50,6.00
117,8.30,0.54,0.28,1.90,0.08,11.00,40.00,1.00,3.39,0.61,10.00,6.00
118,7.80,0.56,0.12,2.00,0.08,7.00,28.00,1.00,3.37,0.50,9.40,6.00
119,8.80,0.55,0.04,2.20,0.12,14.00,56.00,1.00,3.21,0.60,10.90,6.00
120,7.00,0.69,0.08,1.80,0.10,22.00,89.00,1.00,3.34,0.54,9.20,6.00
121,7.30,1.07,0.09,1.70,0.18,10.00,89.00,1.00,3.30,0.57,9.00,5.00
122,8.80,0.55,0.04,2.20,0.12,14.00,56.00,1.00,3.21,0.60,10.90,6.00
123,7.30,0.70,0.00,2.50,0.08,3.00,13.00,1.00,3.49,0.52,9.20,5.00
124,8.00,0.71,0.00,2.60,0.08,11.00,34.00,1.00,3.44,0.53,9.50,5.00
125,7.80,0.50,0.17,1.60,0.08,21.00,102.00,1.00,3.39,0.48,9.50,5.00
126,9.00,0.62,0.04,1.90,0.15,27.00,90.00,1.00,3.16,0.70,9.40,5.00
127,8.20,1.33,0.00,1.70,0.08,3.00,12.00,1.00,3.53,0.49,10.90,5.00
128,8.10,1.33,0.00,1.80,0.08,3.00,12.00,1.00,3.54,0.48,10.90,5.00
129,8.00,0.59,0.16,1.80,0.07,3.00,16.00,1.00,3.42,0.92,10.50,7.00
130,6.10,0.38,0.15,1.80,0.07,6.00,19.00,1.00,3.42,0.57,9.40,5.00
131,8.00,0.75,0.56,2.00,0.12,30.00,134.00,1.00,3.24,0.66,9.40,5.00
132,5.60,0.50,0.09,2.30,0.05,17.00,99.00,0.99,3.63,0.63,13.00,5.00
133,5.60,0.50,0.09,2.30,0.05,17.00,99.00,0.99,3.63,0.63,13.00,5.00
134,6.60,0.50,0.01,1.50,0.06,17.00,26.00,1.00,3.40,0.58,9.80,6.00
135,7.90,1.04,0.05,2.20,0.08,13.00,29.00,1.00,3.22,0.55,9.90,6.00
136,8.40,0.75,0.11,1.90,0.09,16.00,63.00,1.00,3.19,0.82,9.60,5.00
137,8.30,0.72,0.15,1.80,0.09,10.00,52.00,1.00,3.23,0.77,9.50,5.00
138,7.20,0.42,0.36,2.00,0.08,13.00,45.00,1.00,3.48,0.64,9.20,5.00
139,7.80,0.56,0.19,2.10,0.08,15.00,105.00,1.00,3.33,0.54,9.50,5.00
140,7.80,0.56,0.19,2.00,0.08,17.00,108.00,1.00,3.32,0.54,9.50,5.00
141,8.40,0.75,0.11,1.90,0.09,16.00,63.00,1.00,3.19,0.82,9.60,5.00
142,8.30,0.72,0.15,1.80,0.09,10.00,52.00,1.00,3.23,0.77,9.50,5.00
143,5.20,0.34,0.00,1.80,0.05,27.00,63.00,0.99,3.68,0.79,14.00,6.00
144,6.30,0.39,0.08,1.70,0.07,3.00,20.00,1.00,3.34,0.58,9.40,5.00
145,5.20,0.34,0.00,1.80,0.05,27.00,63.00,0.99,3.68,0.79,14.00,6.00
146,8.10,0.67,0.55,1.80,0.12,32.00,141.00,1.00,3.17,0.62,9.40,5.00
147,5.80,0.68,0.02,1.80,0.09,21.00,94.00,0.99,3.54,0.52,10.00,5.00
148,7.60,0.49,0.26,1.60,0.24,10.00,88.00,1.00,3.11,0.80,9.30,5.00
149,6.90,0.49,0.10,2.30,0.07,12.00,30.00,1.00,3.42,0.58,10.20,6.00
150,8.20,0.40,0.44,2.80,0.09,11.00,43.00,1.00,3.53,0.61,10.50,6.00
151,7.30,0.33,0.47,2.10,0.08,5.00,11.00,1.00,3.33,0.53,10.30,6.00
152,9.20,0.52,1.00,3.40,0.61,32.00,69.00,1.00,2.74,2.00,9.40,4.00
153,7.50,0.60,0.03,1.80,0.10,25.00,99.00,1.00,3.35,0.54,10.10,5.00
154,7.50,0.60,0.03,1.80,0.10,25.00,99.00,1.00,3.35,0.54,10.10,5.00
155,7.10,0.43,0.42,5.50,0.07,29.00,129.00,1.00,3.42,0.72,10.50,5.00
156,7.10,0.43,0.42,5.50,0.07,28.00,128.00,1.00,3.42,0.71,10.50,5.00
157,7.10,0.43,0.42,5.50,0.07,29.00,129.00,1.00,3.42,0.72,10.50,5.00
158,7.10,0.43,0.42,5.50,0.07,28.00,128.00,1.00,3.42,0.71,10.50,5.00
159,7.10,0.68,0.00,2.20,0.07,12.00,22.00,1.00,3.48,0.50,9.30,5.00
160,6.80,0.60,0.18,1.90,0.08,18.00,86.00,1.00,3.59,0.57,9.30,6.00
161,7.60,0.95,0.03,2.00,0.09,7.00,20.00,1.00,3.20,0.56,9.60,5.00
162,7.60,0.68,0.02,1.30,0.07,9.00,20.00,1.00,3.17,1.08,9.20,4.00
163,7.80,0.53,0.04,1.70,0.08,17.00,31.00,1.00,3.33,0.56,10.00,6.00
164,7.40,0.60,0.26,7.30,0.07,36.00,121.00,1.00,3.37,0.49,9.40,5.00
165,7.30,0.59,0.26,7.20,0.07,35.00,121.00,1.00,3.37,0.49,9.40,5.00
166,7.80,0.63,0.48,1.70,0.10,14.00,96.00,1.00,3.19,0.62,9.50,5.00
167,6.80,0.64,0.10,2.10,0.09,18.00,101.00,1.00,3.34,0.52,10.20,5.00
168,7.30,0.55,0.03,1.60,0.07,17.00,42.00,1.00,3.37,0.48,9.00,4.00
169,6.80,0.63,0.07,2.10,0.09,11.00,44.00,1.00,3.47,0.55,10.40,6.00
170,7.50,0.71,0.24,1.80,0.36,15.00,63.00,1.00,3.00,1.59,9.50,5.00
171,7.90,0.89,0.03,1.80,0.06,4.00,8.00,1.00,3.36,0.33,9.10,4.00
172,8.00,0.42,0.17,2.00,0.07,6.00,18.00,1.00,3.29,0.61,9.20,6.00
173,8.00,0.42,0.17,2.00,0.07,6.00,18.00,1.00,3.29,0.61,9.20,6.00
174,7.40,0.62,0.05,1.90,0.07,24.00,42.00,1.00,3.42,0.57,11.50,6.00
175,7.30,0.38,0.21,2.00,0.08,7.00,35.00,1.00,3.33,0.47,9.50,5.00
176,6.90,0.50,0.04,1.50,0.09,19.00,49.00,1.00,3.35,0.78,9.50,5.00
177,7.30,0.38,0.21,2.00,0.08,7.00,35.00,1.00,3.33,0.47,9.50,5.00
178,7.50,0.52,0.42,2.30,0.09,8.00,38.00,1.00,3.58,0.61,10.50,6.00
179,7.00,0.81,0.00,2.50,0.07,7.00,20.00,1.00,3.48,0.56,9.60,5.00
180,8.80,0.61,0.14,2.40,0.07,10.00,42.00,1.00,3.19,0.59,9.50,5.00
181,8.80,0.61,0.14,2.40,0.07,10.00,42.00,1.00,3.19,0.59,9.50,5.00
182,8.90,0.61,0.49,2.00,0.27,23.00,110.00,1.00,3.12,1.02,9.30,5.00
183,7.20,0.73,0.02,2.50,0.08,16.00,42.00,1.00,3.44,0.52,9.30,5.00
184,6.80,0.61,0.20,1.80,0.08,11.00,65.00,1.00,3.54,0.58,9.30,5.00
185,6.70,0.62,0.21,1.90,0.08,8.00,62.00,1.00,3.52,0.58,9.30,6.00
186,8.90,0.31,0.57,2.00,0.11,26.00,85.00,1.00,3.26,0.53,9.70,5.00
187,7.40,0.39,0.48,2.00,0.08,14.00,67.00,1.00,3.34,0.55,9.20,5.00
188,7.70,0.71,0.10,2.60,0.08,9.00,26.00,1.00,3.39,0.49,9.70,5.00
189,7.90,0.50,0.33,2.00,0.08,15.00,143.00,1.00,3.20,0.55,9.50,5.00
190,7.90,0.49,0.32,1.90,0.08,17.00,144.00,1.00,3.20,0.55,9.50,5.00
191,8.20,0.50,0.35,2.90,0.08,21.00,127.00,1.00,3.23,0.62,9.40,5.00
192,6.40,0.37,0.25,1.90,0.07,21.00,49.00,1.00,3.57,0.62,9.80,6.00
193,6.80,0.63,0.12,3.80,0.10,16.00,126.00,1.00,3.28,0.61,9.50,5.00
194,7.60,0.55,0.21,2.20,0.07,7.00,28.00,1.00,3.28,0.55,9.70,5.00
195,7.60,0.55,0.21,2.20,0.07,7.00,28.00,1.00,3.28,0.55,9.70,5.00
196,7.80,0.59,0.33,2.00,0.07,24.00,120.00,1.00,3.25,0.54,9.40,5.00
197,7.30,0.58,0.30,2.40,0.07,15.00,55.00,1.00,3.46,0.59,10.20,5.00
198,11.50,0.30,0.60,2.00,0.07,12.00,27.00,1.00,3.11,0.97,10.10,6.00
199,5.40,0.84,0.08,1.20,0.05,13.00,93.00,0.99,3.57,0.85,13.00,7.00
200,6.90,1.09,0.06,2.10,0.06,12.00,31.00,0.99,3.51,0.43,11.40,4.00
201,9.60,0.32,0.47,1.40,0.06,9.00,24.00,1.00,3.22,0.82,10.30,7.00
202,8.80,0.37,0.48,2.10,0.10,39.00,145.00,1.00,3.04,1.03,9.30,5.00
203,6.80,0.50,0.11,1.50,0.08,16.00,49.00,1.00,3.36,0.79,9.50,5.00
204,7.00,0.42,0.35,1.60,0.09,16.00,39.00,1.00,3.34,0.55,9.20,5.00
205,7.00,0.43,0.36,1.60,0.09,14.00,37.00,1.00,3.34,0.56,9.20,6.00
206,12.80,0.30,0.74,2.60,0.10,9.00,28.00,1.00,3.20,0.77,10.80,7.00
207,12.80,0.30,0.74,2.60,0.10,9.00,28.00,1.00,3.20,0.77,10.80,7.00
208,7.80,0.57,0.31,1.80,0.07,26.00,120.00,1.00,3.29,0.53,9.30,5.00
209,7.80,0.44,0.28,2.70,0.10,18.00,95.00,1.00,3.22,0.67,9.40,5.00
210,11.00,0.30,0.58,2.10,0.05,7.00,19.00,1.00,3.31,0.88,10.50,7.00
211,9.70,0.53,0.60,2.00,0.04,5.00,19.00,1.00,3.30,0.86,12.40,6.00
212,8.00,0.73,0.24,2.80,0.08,10.00,62.00,1.00,3.35,0.56,10.00,6.00
213,11.60,0.44,0.64,2.10,0.06,5.00,15.00,1.00,3.21,0.67,10.20,6.00
214,8.20,0.57,0.26,2.20,0.06,28.00,65.00,1.00,3.30,0.43,10.10,5.00
215,7.80,0.74,0.08,2.40,0.09,10.00,41.00,1.00,3.24,0.71,9.80,6.00
216,7.00,0.49,0.49,5.60,0.06,26.00,121.00,1.00,3.34,0.76,10.50,5.00
217,8.70,0.63,0.16,2.00,0.10,13.00,49.00,1.00,3.14,0.57,11.00,5.00
218,8.10,0.73,0.22,2.20,0.07,11.00,41.00,1.00,3.36,0.55,9.10,5.00
219,7.50,0.49,0.19,1.90,0.08,10.00,44.00,1.00,3.39,0.54,9.70,5.00
220,7.80,0.53,0.33,2.40,0.08,24.00,144.00,1.00,3.30,0.60,9.50,5.00
221,7.80,0.34,0.37,2.00,0.08,24.00,58.00,1.00,3.34,0.59,9.40,6.00
222,7.40,0.53,0.26,2.00,0.10,16.00,72.00,1.00,3.15,0.57,9.40,5.00
223,6.80,0.61,0.04,1.50,0.06,5.00,10.00,1.00,3.42,0.60,9.50,5.00
224,8.60,0.65,0.25,2.00,0.08,8.00,28.00,1.00,3.28,0.60,10.00,6.00
225,8.40,0.64,0.36,2.00,0.09,15.00,55.00,1.00,3.31,0.57,10.40,4.00
226,7.70,0.43,0.25,2.60,0.07,29.00,63.00,1.00,3.37,0.58,10.50,6.00
227,8.90,0.59,0.50,2.00,0.34,27.00,81.00,1.00,3.04,1.61,9.50,6.00
228,9.00,0.82,0.14,2.60,0.09,9.00,23.00,1.00,3.39,0.63,9.80,5.00
229,7.70,0.43,0.25,2.60,0.07,29.00,63.00,1.00,3.37,0.58,10.50,6.00
230,6.90,0.52,0.25,2.60,0.08,10.00,37.00,1.00,3.46,0.50,11.00,5.00
231,5.20,0.48,0.04,1.60,0.05,19.00,106.00,0.99,3.54,0.62,12.20,7.00
232,8.00,0.38,0.06,1.80,0.08,12.00,49.00,1.00,3.37,0.52,9.90,6.00
233,8.50,0.37,0.20,2.80,0.09,18.00,58.00,1.00,3.34,0.70,9.60,6.00
234,6.90,0.52,0.25,2.60,0.08,10.00,37.00,1.00,3.46,0.50,11.00,5.00
235,8.20,1.00,0.09,2.30,0.07,7.00,37.00,1.00,3.32,0.55,9.00,6.00
236,7.20,0.63,0.00,1.90,0.10,14.00,38.00,1.00,3.37,0.58,9.00,6.00
237,7.20,0.63,0.00,1.90,0.10,14.00,38.00,1.00,3.37,0.58,9.00,6.00
238,7.20,0.65,0.00,1.90,0.10,15.00,39.00,1.00,3.37,0.58,9.20,6.00
239,7.20,0.63,0.00,1.90,0.10,14.00,38.00,1.00,3.37,0.58,9.00,6.00
240,8.20,1.00,0.09,2.30,0.07,7.00,37.00,1.00,3.32,0.55,9.00,6.00
241,8.90,0.64,0.37,1.70,0.26,5.00,62.00,1.00,3.00,1.09,9.30,5.00
242,12.00,0.38,0.56,2.10,0.09,6.00,24.00,1.00,3.14,0.71,10.90,6.00
243,7.70,0.58,0.10,1.80,0.10,28.00,109.00,1.00,3.08,0.49,9.80,6.00
244,15.00,0.21,0.44,2.20,0.08,10.00,24.00,1.00,3.07,0.84,9.20,7.00
245,15.00,0.21,0.44,2.20,0.08,10.00,24.00,1.00,3.07,0.84,9.20,7.00
246,7.30,0.66,0.00,2.00,0.08,6.00,23.00,1.00,3.61,0.96,9.90,6.00
247,7.10,0.68,0.07,1.90,0.08,16.00,51.00,1.00,3.38,0.52,9.50,5.00
248,8.20,0.60,0.17,2.30,0.07,11.00,73.00,1.00,3.20,0.45,9.30,5.00
249,7.70,0.53,0.06,1.70,0.07,9.00,39.00,1.00,3.35,0.48,9.80,6.00
250,7.30,0.66,0.00,2.00,0.08,6.00,23.00,1.00,3.61,0.96,9.90,6.00
251,10.80,0.32,0.44,1.60,0.06,16.00,37.00,1.00,3.22,0.78,10.00,6.00
252,7.10,0.60,0.00,1.80,0.07,16.00,34.00,1.00,3.47,0.70,9.90,6.00
253,11.10,0.35,0.48,3.10,0.09,5.00,21.00,1.00,3.17,0.53,10.50,5.00
254,7.70,0.78,0.42,1.90,0.09,8.00,86.00,1.00,3.23,0.59,9.50,5.00
255,7.10,0.60,0.00,1.80,0.07,16.00,34.00,1.00,3.47,0.70,9.90,6.00
256,8.00,0.57,0.23,3.20,0.07,17.00,119.00,1.00,3.26,0.57,9.30,5.00
257,9.40,0.34,0.37,2.20,0.08,5.00,13.00,1.00,3.22,0.62,9.20,5.00
258,6.60,0.70,0.00,2.10,0.08,12.00,56.00,1.00,3.49,0.67,9.20,5.00
259,7.70,0.41,0.76,1.80,0.61,8.00,45.00,1.00,3.06,1.26,9.40,5.00
260,10.00,0.31,0.47,2.60,0.09,14.00,33.00,1.00,3.36,0.80,10.50,7.00
261,7.90,0.33,0.23,1.70,0.08,18.00,45.00,1.00,3.29,0.65,9.30,5.00
262,7.00,0.98,0.04,2.00,0.09,12.00,67.00,1.00,3.35,0.60,9.40,4.00
263,8.00,0.52,0.03,1.70,0.07,10.00,35.00,1.00,3.34,0.57,10.00,5.00
264,7.90,0.37,0.23,1.80,0.08,23.00,49.00,1.00,3.28,0.67,9.30,5.00
265,12.50,0.56,0.49,2.40,0.06,5.00,27.00,1.00,3.08,0.87,10.90,5.00
266,11.80,0.26,0.52,1.80,0.07,6.00,10.00,1.00,3.20,0.72,10.20,7.00
267,8.10,0.87,0.00,3.30,0.10,26.00,61.00,1.00,3.60,0.72,9.80,4.00
268,7.90,0.35,0.46,3.60,0.08,15.00,37.00,1.00,3.35,0.86,12.80,8.00
269,6.90,0.54,0.04,3.00,0.08,7.00,27.00,1.00,3.69,0.91,9.40,6.00
270,11.50,0.18,0.51,4.00,0.10,4.00,23.00,1.00,3.28,0.97,10.10,6.00
271,7.90,0.55,0.06,4.00,0.09,27.00,61.00,1.00,3.36,0.67,10.70,6.00
272,11.50,0.18,0.51,4.00,0.10,4.00,23.00,1.00,3.28,0.97,10.10,6.00
273,10.90,0.37,0.58,4.00,0.07,17.00,65.00,1.00,3.22,0.78,10.10,5.00
274,8.40,0.72,0.20,2.40,0.08,10.00,38.00,1.00,3.31,0.64,9.40,5.00
275,7.50,0.65,0.18,7.00,0.09,27.00,94.00,1.00,3.38,0.77,9.40,5.00
276,7.90,0.55,0.06,4.00,0.09,27.00,61.00,1.00,3.36,0.67,10.70,6.00
277,6.90,0.54,0.04,3.00,0.08,7.00,27.00,1.00,3.69,0.91,9.40,6.00
