Name,Team,nAtBat,nHits,nHome,nRuns,nRBI,nBB,YrMajor,CrAtBat,CrHits,CrHome,CrRuns,CrRbi,CrBB,League,Division,Position,nOuts,nAssts,nError,Salary,Div,logSalary,in_fielder,out_fielder,catcher,CrHits2
"Bochy, Bruce",San Diego,127,32,8,16,22,14,8,727,180,24,67,82,56,National,West,C,202,22,2,135,NW,4.9052747784,0,0,1,32400
"Bonds, Barry",Pittsburgh,413,92,16,72,48,65,1,413,92,16,72,48,65,National,East,CF,280,9,5,100,NE,4.605170186,0,1,0,8464
"Bonilla, Bobby",Chicago,426,109,3,55,43,62,1,426,109,3,55,43,62,American,West,O1,361,22,2,115,AW,4.7449321284,0,0,0,11881
"Boone, Bob",California,442,98,7,48,49,43,15,5982,1501,96,555,702,533,American,West,C,812,84,11,,AW,,0,0,1,2253001
"Brenly, Bob",San Francisco,472,116,16,60,62,74,6,1924,489,67,242,251,240,National,West,C,518,55,3,600,NW,6.3969296552,0,0,1,239121
"Buckner, Bill",Boston,629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,American,East,1B,1067,157,14,776.667,AE,6.6550116871,1,0,0,6071296
"Butler, Brett",Cleveland,587,163,4,92,51,70,6,2695,747,17,442,198,317,American,East,CF,434,9,3,765,AE,6.6398758338,0,1,0,558009
"Dernier, Bob",Chicago,324,73,4,32,18,22,7,1931,491,13,291,108,180,National,East,CF,222,3,3,708.333,NE,6.5629143221,0,1,0,241081
"Diaz, Bo",Cincinnati,474,129,10,50,56,40,10,2331,604,61,246,327,166,National,West,C,732,83,13,750,NW,6.6200732065,0,0,1,364816
"Doran, Bill",Houston,550,152,6,92,37,81,5,2308,633,32,349,182,308,National,West,2B,262,329,16,625,NW,6.4377516497,1,0,0,400689
"Downing, Brian",California,513,137,20,90,95,90,14,5201,1382,166,763,734,784,American,West,LF,267,5,3,900,AW,6.8023947633,0,1,0,1909924
"Grich, Bobby",California,313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,American,West,2B,127,221,7,,AW,,1,0,0,3359889
"Hatcher, Billy",Houston,419,108,6,55,36,22,3,591,149,8,80,46,31,National,West,CF,226,7,4,110,NW,4.7004803658,0,1,0,22201
"Horner, Bob",Atlanta,517,141,27,70,87,52,9,3571,994,215,545,652,337,National,West,1B,1378,102,8,,NW,,1,0,0,988036
"Jacoby, Brook",Cleveland,583,168,17,83,80,56,5,1646,452,44,219,208,136,American,East,3B,109,292,25,612.5,AE,6.4175489424,1,0,0,204304
"Kearney, Bob",Seattle,204,49,6,23,25,12,7,1309,308,27,126,132,66,American,West,C,419,46,5,300,AW,5.7037824747,0,0,1,94864
"Madlock, Bill",Los Angeles,379,106,10,38,60,30,14,6207,1906,146,859,803,571,National,West,3B,72,170,24,850,NW,6.7452363495,1,0,0,3632836
"Meacham, Bobby",New York,161,36,0,19,10,17,4,1053,244,3,156,86,107,American,East,SS,70,149,12,,AE,,1,0,0,59536
"Melvin, Bob",San Francisco,268,60,5,24,25,15,2,350,78,5,34,29,18,National,West,C,442,59,6,90,NW,4.4998096703,0,0,1,6084
"Oglivie, Ben",Milwaukee,346,98,5,31,53,30,16,5913,1615,235,784,901,560,American,East,DH,0,0,0,,AE,,0,0,0,2608225
"Roberts, Bip",San Diego,241,61,1,34,12,14,1,241,61,1,34,12,14,National,West,2B,166,172,10,,NW,,1,0,0,3721
"Robidoux, Billy Jo",Milwaukee,181,41,1,15,21,33,2,232,50,4,20,29,45,American,East,1B,326,29,5,67.5,AE,4.2121275979,1,0,0,2500
"Russell, Bill",Los Angeles,216,54,0,21,18,15,18,7318,1926,46,796,627,483,National,West,UT,103,84,5,,NW,,0,0,0,3709476
"Sample, Billy",Atlanta,200,57,6,23,14,14,9,2516,684,46,371,230,195,National,West,OF,69,1,1,,NW,,0,1,0,467856
"Schroeder, Bill",Milwaukee,217,46,7,32,19,9,4,694,160,32,86,76,32,American,East,UT,307,25,1,180,AE,5.1929568509,0,0,0,25600
"Wynegar, Butch",New York,194,40,7,19,29,30,11,4183,1069,64,486,493,608,American,East,C,325,22,2,,AE,,0,0,1,1142761
"Bando, Chris",Cleveland,254,68,2,28,26,22,6,999,236,21,108,117,118,American,East,C,359,30,4,305,AE,5.7203117766,0,0,1,55696
"Brown, Chris",San Francisco,416,132,7,57,49,33,3,932,273,24,113,121,80,National,West,3B,73,177,18,215,NW,5.3706380281,1,0,0,74529
"Castillo, Carmen",Cleveland,205,57,8,34,32,9,5,756,192,32,117,107,51,American,East,OD,58,4,4,247.5,AE,5.511410582,0,0,0,36864
"Cooper, Cecil",Milwaukee,542,140,12,46,75,41,16,7099,2130,235,987,1089,431,American,East,1B,697,61,9,,AE,,1,0,0,4536900
"Davis, Chili",San Francisco,526,146,13,71,70,84,6,2648,715,77,352,342,289,National,West,RF,303,9,9,815,NW,6.7031881132,0,1,0,511225
"Fisk, Carlton",Chicago,457,101,14,42,63,22,17,6521,1767,281,1003,977,619,American,West,C,389,39,4,875,AW,6.7742238864,0,0,1,3122289
"Ford, Curt",St Louis,214,53,2,30,29,23,2,226,59,2,32,32,27,National,East,OF,109,7,3,70,NE,4.248495242,0,1,0,3481
"Johnson, Cliff",Toronto,336,84,15,48,55,52,15,3945,1016,196,539,699,568,American,East,DH,8,1,0,,AE,,0,0,0,1032256
"Lansford, Carney",Oakland,591,168,19,80,72,39,9,4478,1307,113,634,563,319,American,West,3B,67,147,4,1200,AW,7.0900768358,1,0,0,1708249
"Lemon, Chet",Detroit,403,101,12,45,53,39,12,5150,1429,166,747,666,526,American,East,CF,316,6,5,675,AE,6.5147126909,0,1,0,2042041
"Maldonado, Candy",San Francisco,405,102,18,49,85,20,6,950,231,29,99,138,64,National,West,OF,161,10,3,415,NW,6.0282785202,0,1,0,53361
"Martinez, Carmelo",San Diego,244,58,9,28,25,35,4,1335,333,49,164,179,194,National,West,O1,142,14,2,340,NW,5.8289456176,0,0,0,110889
"Moore, Charlie",Milwaukee,235,61,3,24,39,21,14,3926,1029,35,441,401,333,American,East,C,425,43,4,,AE,,0,0,1,1058841
"Reynolds, Craig",Houston,313,78,6,32,41,12,12,3742,968,35,409,321,170,National,West,SS,106,206,7,416.667,NW,6.0322873416,1,0,0,937024
"Ripken, Cal",Baltimore,627,177,25,98,81,70,6,3210,927,133,529,472,313,American,East,SS,240,482,13,1350,AE,7.2078598714,1,0,0,859329
"Snyder, Cory",Cleveland,416,113,24,58,69,16,1,416,113,24,58,69,16,American,East,OS,203,70,10,90,AE,4.4998096703,0,0,0,12769
"Speier, Chris",Chicago,155,44,6,21,23,15,16,6631,1634,98,698,661,777,National,East,3S,53,88,3,275,NE,5.6167710977,0,0,0,2669956
"Wilkerson, Curt",Texas,236,56,0,27,15,11,4,1115,270,1,116,64,57,American,West,2S,125,199,13,230,AW,5.4380793089,0,0,0,72900
"Anderson, Dave",Los Angeles,216,53,1,31,15,22,4,926,210,9,118,69,114,National,West,3S,73,152,11,225,NW,5.4161004022,0,0,0,44100
"Baker, Dusty",Oakland,242,58,4,25,19,27,19,7117,1981,242,964,1013,762,American,West,OF,90,4,0,,AW,,0,1,0,3924361
"Baylor, Don",Boston,585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,American,East,DH,0,0,0,950,AE,6.8564619846,0,0,0,3928324
"Bilardello, Dann",Montreal,191,37,4,12,17,14,4,773,163,16,61,74,52,National,East,C,391,38,8,,NE,,0,0,1,26569
"Boston, Daryl",Chicago,199,53,5,29,22,21,3,514,120,8,57,40,39,American,West,CF,152,3,5,75,AW,4.3174881135,0,1,0,14400
"Coles, Darnell",Detroit,521,142,20,67,86,45,4,815,205,22,99,103,78,American,East,3B,107,242,23,105,AE,4.6539603502,1,0,0,42025
"Collins, Dave",Detroit,419,113,1,44,27,44,12,4484,1231,32,612,344,422,American,East,LF,211,2,1,,AE,,0,1,0,1515361
"Concepcion, Dave",Cincinnati,311,81,3,42,30,26,17,8247,2198,100,950,909,690,National,West,UT,153,223,10,320,NW,5.7683209958,0,0,0,4831204
"Daulton, Darren",Philadelphia,138,31,8,18,21,38,3,244,53,12,33,32,55,National,East,C,244,21,4,,NE,,0,0,1,2809
"DeCinces, Doug",California,512,131,26,69,96,52,14,5347,1397,221,712,815,548,American,West,3B,119,216,12,850,AW,6.7452363495,1,0,0,1951609
"Evans, Darrell",Detroit,507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,American,East,1B,808,108,2,535,AE,6.2822667469,1,0,0,3790809
"Evans, Dwight",Boston,529,137,26,86,97,97,15,6661,1785,291,1082,949,989,American,East,RF,280,10,5,933.333,AE,6.8387620504,0,1,0,3186225
"Garcia, Damaso",Toronto,424,119,6,57,46,13,9,3651,1046,32,461,301,112,American,East,2B,224,286,8,850,AE,6.7452363495,1,0,0,1094116
"Gladden, Dan",San Francisco,351,97,4,55,29,39,4,1258,353,16,196,110,117,National,West,CF,226,7,3,210,NW,5.3471075307,0,1,0,124609
"Heep, Danny",New York,195,55,5,24,33,30,8,1313,338,25,144,149,153,National,East,OF,83,2,1,,NE,,0,1,0,114244
"Henderson, Dave",Seattle,388,103,15,59,47,39,6,2174,555,80,285,274,186,American,West,OF,182,9,4,325,AW,5.7838251823,0,1,0,308025
"Hill, Donnie",Oakland,339,96,4,37,29,23,4,1064,290,11,123,108,55,American,West,23,104,213,9,275,AW,5.6167710977,0,0,0,84100
"Kingman, Dave",Oakland,561,118,35,70,94,33,16,6677,1575,442,901,1210,608,American,West,DH,463,32,8,,AW,,0,0,0,2480625
"Lopes, Davey",Chicago,255,70,7,49,35,43,15,6311,1661,154,1019,608,820,National,East,3O,51,54,8,450,NE,6.1092475828,0,0,0,2758921
"Mattingly, Don",New York,677,238,31,117,113,53,5,2223,737,93,349,401,171,American,East,1B,1377,100,6,1975,AE,7.5883236773,1,0,0,543169
"Motley, Darryl",Kansas City,227,46,7,23,20,12,5,1325,324,44,156,158,67,American,West,RF,92,2,2,,AW,,0,1,0,104976
"Murphy, Dale",Atlanta,614,163,29,89,83,75,11,5017,1388,266,813,822,617,National,West,CF,303,6,6,1900,NW,7.5496091652,0,1,0,1926544
"Murphy, Dwayne",Oakland,329,83,9,50,39,56,9,3828,948,145,575,528,635,American,West,CF,276,6,2,600,AW,6.3969296552,0,1,0,898704
"Parker, Dave",Cincinnati,637,174,31,89,116,56,14,6727,2024,247,978,1093,495,National,West,RF,278,9,9,1041.667,NW,6.9485775935,0,1,0,4096576
"Pasqua, Dan",New York,280,82,16,44,45,47,2,428,113,25,61,70,63,American,East,LF,148,4,2,110,AE,4.7004803658,0,1,0,12769
"Porter, Darrell",Texas,155,41,12,21,29,22,16,5409,1338,181,746,805,875,American,West,CD,165,9,1,260,AW,5.560681631,0,0,0,1790244
"Schofield, Dick",California,458,114,13,67,57,48,4,1350,298,28,160,123,122,American,West,SS,246,389,18,475,AW,6.163314804,1,0,0,88804
"Slaught, Don",Texas,314,83,13,39,46,16,5,1457,405,28,156,159,76,American,West,C,533,40,4,431.5,AW,6.0672675105,0,0,1,164025
"Strawberry, Darryl",New York,475,123,27,76,93,72,4,1810,471,108,292,343,267,National,East,RF,226,10,6,1220,NE,7.1066061377,0,1,0,221841
"Sveum, Dale",Milwaukee,317,78,7,35,35,32,1,317,78,7,35,35,32,American,East,3B,45,122,26,70,AE,4.248495242,1,0,0,6084
"Tartabull, Danny",Seattle,511,138,25,76,96,61,3,592,164,28,87,110,71,American,West,RF,157,7,8,145,AW,4.9767337424,0,1,0,26896
"Thon, Dickie",Houston,278,69,3,24,21,29,8,2079,565,32,258,192,162,National,West,SS,142,210,10,,NW,,1,0,0,319225
"Walling, Denny",Houston,382,119,13,54,58,36,12,2133,594,41,287,294,227,National,West,3B,59,156,9,595,NW,6.3885614055,1,0,0,352836
"Winfield, Dave",New York,565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,American,East,RF,292,9,5,1861.46,AE,7.529116405,0,1,0,4338889
"Cabell, Enos",Los Angeles,277,71,2,27,29,14,15,5952,1647,60,753,596,259,National,West,1B,360,32,5,,NW,,1,0,0,2712609
"Davis, Eric",Cincinnati,415,115,27,97,71,68,3,711,184,45,156,119,99,National,West,LF,274,2,7,300,NW,5.7037824747,0,1,0,33856
"Milner, Eddie",Cincinnati,424,110,15,70,47,36,7,2130,544,38,335,174,258,National,West,CF,292,6,3,490,NW,6.1944053911,0,1,0,295936
"Murray, Eddie",Baltimore,495,151,17,61,84,78,10,5624,1679,275,884,1015,709,American,East,1B,1045,88,13,2460,AE,7.8079166289,1,0,0,2819041
"Riles, Ernest",Milwaukee,524,132,9,69,47,54,2,972,260,14,123,92,90,American,East,SS,212,327,20,,AE,,1,0,0,67600
"Romero, Ed",Boston,233,49,2,41,23,18,8,1350,336,7,166,122,106,American,East,SS,102,132,10,375,AE,5.926926026,1,0,0,112896
"Whitt, Ernie",Toronto,395,106,16,48,56,35,10,2303,571,86,266,323,248,American,East,C,709,41,7,,AE,,0,0,1,326041
"Lynn, Fred",Baltimore,397,114,23,67,67,53,13,5589,1632,241,906,926,716,American,East,CF,244,2,4,,AE,,0,1,0,2663424
"Rayford, Floyd",Baltimore,210,37,8,15,19,15,6,994,244,36,107,114,53,American,East,3B,40,115,15,,AE,,1,0,0,59536
"Stubbs, Franklin",Los Angeles,420,95,23,55,58,37,3,646,139,31,77,77,61,National,West,LF,206,10,7,,NW,,0,1,0,19321
"White, Frank",Kansas City,566,154,22,76,84,43,14,6100,1583,131,743,693,300,American,West,2B,316,439,10,750,AW,6.6200732065,1,0,0,2505889
"Bell, George",Toronto,641,198,31,101,108,41,5,2129,610,92,297,319,117,American,East,LF,269,17,10,1175,AE,7.0690234266,0,1,0,372100
"Braggs, Glenn",Milwaukee,215,51,4,19,18,11,1,215,51,4,19,18,11,American,East,LF,116,5,12,70,AE,4.248495242,0,1,0,2601
"Brett, George",Kansas City,441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,American,West,3B,97,218,16,1500,AW,7.3132203871,1,0,0,4389025
"Brock, Greg",Los Angeles,325,76,16,33,52,37,5,1506,351,71,195,219,214,National,West,1B,726,87,3,385,NW,5.9532433343,1,0,0,123201
"Carter, Gary",New York,490,125,24,81,105,62,13,6063,1646,271,847,999,680,National,East,C,869,62,8,1925.571,NE,7.5629778261,0,0,1,2709316
"Davis, Glenn",Houston,574,152,31,91,101,64,3,985,260,53,148,173,95,National,West,1B,1253,111,11,215,NW,5.3706380281,1,0,0,67600
"Foster, George",New York,284,64,14,30,42,24,18,7023,1925,348,986,1239,666,National,East,LF,96,4,4,,NE,,0,1,0,3705625
"Gaetti, Gary",Minneapolis,596,171,34,91,108,52,6,2862,728,107,361,401,224,American,West,3B,118,334,21,900,AW,6.8023947633,1,0,0,529984
"Gagne, Greg",Minneapolis,472,118,12,63,54,30,4,793,187,14,102,80,50,American,West,SS,228,377,26,155,AW,5.0434251169,1,0,0,34969
"Hendrick, George",California,283,77,14,45,47,26,16,6840,1910,259,915,1067,546,American,West,OF,144,6,5,700,AW,6.551080335,0,1,0,3648100
"Hubbard, Glenn",Atlanta,408,94,4,42,36,66,9,3573,866,59,429,365,410,National,West,2B,282,487,19,535,NW,6.2822667469,1,0,0,749956
"Iorg, Garth",Toronto,327,85,3,30,44,20,8,2140,568,16,216,208,93,American,East,32,91,185,12,362.5,AE,5.8930244743,0,0,0,322624
"Matthews, Gary",Chicago,370,96,21,49,46,60,15,6986,1972,231,1070,955,921,National,East,LF,137,5,9,733.333,NE,6.5975998961,0,1,0,3888784
"Nettles, Graig",San Diego,354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,National,West,3B,83,174,16,200,NW,5.2983173665,1,0,0,4717584
"Pettis, Gary",California,539,139,5,93,58,69,5,1469,369,12,247,126,198,American,West,CF,462,9,7,400,AW,5.9914645471,0,1,0,136161
"Redus, Gary",Philadelphia,340,84,11,62,33,47,5,1516,376,42,284,141,219,National,East,LF,185,8,4,400,NE,5.9914645471,0,1,0,141376
"Templeton, Garry",San Diego,510,126,2,42,44,35,11,5562,1578,44,703,519,256,National,West,SS,207,358,20,737.5,NW,6.6032660882,1,0,0,2490084
"Thomas, Gorman",Seattle,315,59,16,45,36,58,13,4677,1051,268,681,782,697,American,West,DH,0,0,0,,AW,,0,0,0,1104601
"Walker, Greg",Chicago,282,78,13,37,51,29,5,1649,453,73,211,280,138,American,West,1B,670,57,5,500,AW,6.2146080984,1,0,0,205209
"Ward, Gary",Texas,380,120,5,54,51,31,8,3118,900,92,444,419,240,American,West,LF,237,8,1,600,AW,6.3969296552,0,1,0,810000
"Wilson, Glenn",Philadelphia,584,158,15,70,84,42,5,2358,636,58,265,316,134,National,East,RF,331,20,4,662.5,NE,6.4960205579,0,1,0,404496
"Baines, Harold",Chicago,570,169,21,72,88,38,7,3754,1077,140,492,589,263,American,West,RF,295,15,5,950,AW,6.8564619846,0,1,0,1159929
"Brooks, Hubie",Montreal,306,104,14,50,58,25,7,2954,822,55,313,377,187,National,East,SS,116,222,15,750,NE,6.6200732065,1,0,0,675684
"Johnson, Howard",New York,220,54,10,30,39,31,5,1185,299,40,145,154,128,National,East,3S,50,136,20,297.5,NE,5.695414225,0,0,0,89401
"McRae, Hal",Kansas City,278,70,7,22,37,18,18,7186,2081,190,935,1088,643,American,West,DH,0,0,0,325,AW,5.7838251823,0,0,0,4330561
"Reynolds, Harold",Seattle,445,99,1,46,24,29,4,618,129,1,72,31,48,American,West,2B,278,415,16,87.5,AW,4.4716387934,1,0,0,16641
"Spilman, Harry",San Francisco,143,39,5,18,30,15,9,639,151,16,80,97,61,National,West,1B,138,15,1,175,NW,5.1647859739,1,0,0,22801
"Winningham, Herm",Montreal,185,40,4,23,11,18,3,524,125,7,58,37,47,National,East,OF,97,2,2,90,NE,4.4998096703,0,1,0,15625
"Barfield, Jesse",Toronto,589,170,40,107,108,69,6,2325,634,128,371,376,238,American,East,RF,368,20,3,1237.5,AE,7.1208484944,0,1,0,401956
"Beniquez, Juan",Baltimore,343,103,6,48,36,40,15,4338,1193,70,581,421,325,American,East,UT,211,56,13,430,AE,6.0637852087,0,0,0,1423249
"Bonilla, Juan",Baltimore,284,69,1,33,18,25,5,1407,361,6,139,98,111,American,East,2B,122,140,5,,AE,,1,0,0,130321
"Cangelosi, John",Chicago,438,103,2,65,32,71,2,440,103,2,67,32,71,American,West,LF,276,7,9,100,AW,4.605170186,0,1,0,10609
"Canseco, Jose",Oakland,600,144,33,85,117,65,2,696,173,38,101,130,69,American,West,LF,319,4,14,165,AW,5.1059454739,0,1,0,29929
"Carter, Joe",Cleveland,663,200,29,108,121,32,4,1447,404,57,210,222,68,American,East,RF,241,8,6,250,AE,5.5214609179,0,1,0,163216
"Clark, Jack",St Louis,232,55,9,34,23,45,12,4405,1213,194,702,705,625,National,East,1B,623,35,3,1300,NE,7.1701195434,1,0,0,1471369
"Cruz, Jose",Houston,479,133,10,48,72,55,17,7472,2147,153,980,1032,854,National,West,LF,237,5,4,773.333,NW,6.650709745,0,1,0,4609609
"Cruz, Julio",Chicago,209,45,0,38,19,42,10,3859,916,23,557,279,478,American,West,2B,132,205,5,,AW,,1,0,0,839056
"Davis, Jody",Chicago,528,132,21,61,74,41,6,2641,671,97,273,383,226,National,East,C,885,105,8,1008.333,NE,6.9160537512,0,0,1,450241
"Dwyer, Jim",Baltimore,160,39,8,18,31,22,14,2128,543,56,304,268,298,American,East,DO,33,3,0,275,AE,5.6167710977,0,0,0,294849
"Franco, Julio",Cleveland,599,183,10,80,74,32,5,2482,715,27,330,326,158,American,East,SS,231,374,18,775,AE,6.6528630294,1,0,0,511225
"Gantner, Jim",Milwaukee,497,136,7,58,38,26,11,3871,1066,40,450,367,241,American,East,2B,304,347,10,850,AE,6.7452363495,1,0,0,1136356
"Grubb, Johnny",Detroit,210,70,13,32,51,28,15,4040,1130,97,544,462,551,American,East,DH,0,0,0,365,AE,5.8998973536,0,0,0,1276900
"Hairston, Jerry",Chicago,225,61,5,32,26,26,11,1568,408,25,202,185,257,American,West,UT,132,9,0,,AW,,0,0,0,166464
"Howell, Jack",California,151,41,4,26,21,19,2,288,68,9,45,39,35,American,West,3B,28,56,2,95,AW,4.5538768916,1,0,0,4624
"Kruk, John",San Diego,278,86,4,33,38,45,1,278,86,4,33,38,45,National,West,LF,102,4,2,110,NW,4.7004803658,0,1,0,7396
"Leonard, Jeffrey",San Francisco,341,95,6,48,42,20,10,2964,808,81,379,428,221,National,West,LF,158,4,5,100,NW,4.605170186,0,1,0,652864
"Morrison, Jim",Pittsburgh,537,147,23,58,88,47,10,2744,730,97,302,351,174,National,East,3B,92,257,20,277.5,NE,5.6258209332,1,0,0,532900
"Moses, John",Seattle,399,102,3,56,34,34,5,670,167,4,89,48,54,American,West,CF,211,9,3,80,AW,4.3820266347,0,1,0,27889
"Mumphrey, Jerry",Chicago,309,94,5,37,32,26,13,4618,1330,57,616,522,436,National,East,OF,161,3,3,600,NE,6.3969296552,0,1,0,1768900
"Orsulak, Joe",Pittsburgh,401,100,2,60,19,28,4,876,238,2,126,44,55,National,East,RF,193,11,4,,NE,,0,1,0,56644
"Orta, Jorge",Kansas City,336,93,9,35,46,23,15,5779,1610,128,730,741,497,American,West,DH,0,0,0,,AW,,0,0,0,2592100
"Presley, Jim",Seattle,616,163,27,83,107,32,3,1437,377,65,181,227,82,American,West,3B,110,308,15,200,AW,5.2983173665,1,0,0,142129
"Quirk, Jamie",Kansas City,219,47,8,24,26,17,12,1188,286,23,100,125,63,American,West,CS,260,58,4,,AW,,0,0,0,81796
"Ray, Johnny",Pittsburgh,579,174,7,67,78,58,6,3053,880,32,366,337,218,National,East,2B,280,479,5,657,NE,6.4876840185,1,0,0,774400
"Reed, Jeff",Minneapolis,165,39,2,13,9,16,3,196,44,2,18,10,18,American,West,C,332,19,2,75,AW,4.3174881135,0,0,1,1936
"Rice, Jim",Boston,618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,American,East,LF,330,16,8,2412.5,AE,7.7884188332,0,1,0,4678569
"Royster, Jerry",San Diego,257,66,5,31,26,32,14,3910,979,33,518,324,382,National,West,UT,87,166,14,250,NW,5.5214609179,0,0,0,958441
"Russell, John",Philadelphia,315,76,13,35,60,25,3,630,151,24,68,94,55,National,East,C,498,39,13,155,NE,5.0434251169,0,0,1,22801
"Samuel, Juan",Philadelphia,591,157,16,90,78,26,4,2020,541,52,310,226,91,National,East,2B,290,440,25,640,NE,6.4614681764,1,0,0,292681
"Shelby, John",Baltimore,404,92,11,54,49,18,6,1354,325,30,188,135,63,American,East,OF,222,5,5,300,AE,5.7037824747,0,1,0,105625
"Skinner, Joel",Chicago,315,73,5,23,37,16,4,450,108,6,38,46,28,American,West,C,227,15,3,110,AW,4.7004803658,0,0,1,11664
"Stone, Jeff",Philadelphia,249,69,6,32,19,20,4,702,209,10,97,48,44,National,East,OF,103,8,2,,NE,,0,1,0,43681
"Sundberg, Jim",Kansas City,429,91,12,41,42,57,13,5590,1397,83,578,579,644,American,West,C,686,46,4,825,AW,6.7153833863,0,0,1,1951609
"Traber, Jim",Baltimore,212,54,13,28,44,18,2,233,59,13,31,46,20,American,East,UT,243,23,5,,AE,,0,0,0,3481
"Uribe, Jose",San Francisco,453,101,3,46,43,61,3,948,218,6,96,72,91,National,West,SS,249,444,16,195,NW,5.2729995586,1,0,0,47524
"Willard, Jerry",Oakland,161,43,4,17,26,22,3,707,179,21,77,99,76,American,West,C,300,12,2,,AW,,0,0,1,32041
"Youngblood, Joel",San Francisco,184,47,5,20,28,18,11,3327,890,74,419,382,304,National,West,OF,49,2,0,450,NW,6.1092475828,0,1,0,792100
"Bass, Kevin",Houston,591,184,20,83,79,38,5,1689,462,40,219,195,82,National,West,RF,303,12,5,630,NW,6.4457198194,0,1,0,213444
"Daniels, Kal",Cincinnati,181,58,6,34,23,22,1,181,58,6,34,23,22,National,West,OF,88,0,3,86.5,NW,4.4601444139,0,1,0,3364
"Gibson, Kirk",Detroit,441,118,28,84,86,68,8,2723,750,126,433,420,309,American,East,RF,190,2,2,1300,AE,7.1701195434,0,1,0,562500
"Griffey, Ken",New York,490,150,21,69,58,35,14,6126,1839,121,983,707,600,American,East,OF,96,5,3,1000,AE,6.907755279,0,1,0,3381921
"Hernandez, Keith",New York,551,171,13,94,83,94,13,6090,1840,128,969,900,917,National,East,1B,1199,149,5,1800,NE,7.4955419439,1,0,0,3385600
"Hrbek, Kent",Minneapolis,550,147,29,85,91,71,6,2816,815,117,405,474,319,American,West,1B,1218,104,10,1310,AW,7.1777824162,1,0,0,664225
